"pcon_code","pcon_name","new_la_code","la_name","first_available_year_included","most_recent_year_included"
"E14001041","Winchester","E10000014","Hampshire","2017","2023"
"E14000712","Gloucester","E10000013","Gloucestershire","2017","2023"
"E14000980","Stroud","E10000013","Gloucestershire","2017","2023"
"E14000600","Bristol North West","E06000023","Bristol, City of","2017","2023"
"E14000791","Lichfield","E10000028","Staffordshire","2017","2023"
"E14000698","Exeter","E10000008","Devon","2017","2023"
"E14000539","Banbury","E10000025","Oxfordshire","2017","2023"
"E14000644","Colchester","E10000012","Essex","2017","2023"
"E14000734","Harwich and North Essex","E10000012","Essex","2017","2023"
"E14000678","East Devon","E10000008","Devon","2017","2023"
"E14000899","Rochford and Southend East","E10000012","Essex","2017","2023"
"E14000792","Lincoln","E10000019","Lincolnshire","2017","2023"
"E14001018","Warrington South","E06000007","Warrington","2017","2023"
"E14001047","Woking","E10000030","Surrey","2017","2023"
"E14001017","Warrington North","E06000007","Warrington","2017","2023"
"E14000760","Ilford South","E13000002","Outer London","2017","2023"
"E14000790","Leyton and Wanstead","E13000002","Outer London","2017","2023"
"E14000759","Ilford North","E13000002","Outer London","2017","2023"
"E14000757","Huntingdon","E10000003","Cambridgeshire","2017","2023"
"E14000855","North West Cambridgeshire","E10000003","Cambridgeshire","2017","2023"
"E14000937","South East Cambridgeshire","E10000003","Cambridgeshire","2017","2023"
"E14000934","South Cambridgeshire","E10000003","Cambridgeshire","2017","2023"
"E14000567","Birmingham, Selly Oak","E11000005","West Midlands","2017","2023"
"E14000615","Camberwell and Peckham","E13000001","Inner London","2017","2023"
"E14000735","Hastings and Rye","E10000011","East Sussex","2017","2023"
"E14000558","Bexleyheath and Crayford","E13000002","Outer London","2017","2023"
"E14000696","Erith and Thamesmead","E13000002","Outer London","2017","2023"
"E14000869","Old Bexley and Sidcup","E13000002","Outer London","2017","2023"
"E14000634","Chingford and Woodford Green","E13000002","Outer London","2017","2023"
"E14000809","Manchester, Withington","E11000001","Greater Manchester","2017","2023"
"E14000568","Birmingham, Yardley","E11000005","West Midlands","2017","2023"
"E14000562","Birmingham, Hall Green","E11000005","West Midlands","2017","2023"
"E14000561","Birmingham, Erdington","E11000005","West Midlands","2017","2023"
"E14000985","Sutton Coldfield","E11000005","West Midlands","2017","2023"
"E14000563","Birmingham, Hodge Hill","E11000005","West Midlands","2017","2023"
"E14000560","Birmingham, Edgbaston","E11000005","West Midlands","2017","2023"
"E14000565","Birmingham, Northfield","E11000005","West Midlands","2017","2023"
"E14000685","Eastleigh","E10000014","Hampshire","2017","2023"
"E14001059","Wythenshawe and Sale East","E11000001","Greater Manchester","2017","2023"
"E14000807","Manchester Central","E11000001","Greater Manchester","2017","2023"
"E14000777","Leeds Central","E11000006","West Yorkshire","2017","2023"
"E14000808","Manchester, Gorton","E11000001","Greater Manchester","2017","2023"
"E14000553","Bermondsey and Old Southwark","E13000001","Inner London","2017","2023"
"E14000571","Blackley and Broughton","E11000001","Greater Manchester","2017","2023"
"E14000781","Leeds West","E11000006","West Yorkshire","2017","2023"
"E14000673","Dulwich and West Norwood","E13000001","Inner London","2017","2023"
"E14000564","Birmingham, Ladywood","E11000005","West Midlands","2017","2023"
"E14000566","Birmingham, Perry Barr","E11000005","West Midlands","2017","2023"
"E14001027","Welwyn Hatfield","E10000015","Hertfordshire","2017","2023"
"E14000886","Pudsey","E11000006","West Yorkshire","2017","2023"
"E14000779","Leeds North East","E11000006","West Yorkshire","2017","2023"
"E14000778","Leeds East","E11000006","West Yorkshire","2017","2023"
"E14000689","Elmet and Rothwell","E11000006","West Yorkshire","2017","2023"
"E14000780","Leeds North West","E11000006","West Yorkshire","2017","2023"
"E14000834","Newcastle-under-Lyme","E10000028","Staffordshire","2017","2023"
"E14000973","Stoke-on-Trent North","E10000028","Staffordshire","2017","2023"
"E14000697","Esher and Walton","E10000030","Surrey","2017","2023"
"E14000907","Runnymede and Weybridge","E10000030","Surrey","2017","2023"
"E14000964","St Ives","E06000053","Isles of Scilly","2017","2023"
"E14001023","Wealden","E10000011","East Sussex","2017","2023"
"E14000557","Bexhill and Battle","E10000011","East Sussex","2017","2023"
"E14000684","Eastbourne","E10000011","East Sussex","2017","2023"
"E14000786","Lewes","E10000011","East Sussex","2017","2023"
"E14000633","Chichester","E10000032","West Sussex","2017","2023"
"E14000536","Ashford","E10000016","Kent","2017","2023"
"E14000771","Kingston upon Hull East","E06000010","Kingston upon Hull, City of","2017","2023"
"E14000996","Tiverton and Honiton","E10000008","Devon","2017","2023"
"E14000753","Horsham","E10000032","West Sussex","2017","2023"
"E14000848","North Norfolk","E10000020","Norfolk","2017","2023"
"E14000654","Croydon Central","E13000002","Outer London","2017","2023"
"E14000597","Brighton, Kemptown","E10000011","East Sussex","2017","2023"
"E14000655","Croydon North","E13000002","Outer London","2017","2023"
"E14000772","Kingston upon Hull North","E06000010","Kingston upon Hull, City of","2017","2023"
"E14000656","Croydon South","E13000002","Outer London","2017","2023"
"E14000570","Blackburn","E06000008","Blackburn with Darwen","2017","2023"
"E14000902","Rossendale and Darwen","E06000008","Blackburn with Darwen","2017","2023"
"E14000773","Kingston upon Hull West and Hessle","E06000010","Kingston upon Hull, City of","2017","2023"
"E14000831","Newcastle upon Tyne Central","E11000007","Tyne and Wear","2017","2023"
"E14000832","Newcastle upon Tyne East","E11000007","Tyne and Wear","2017","2023"
"E14000833","Newcastle upon Tyne North","E11000007","Tyne and Wear","2017","2023"
"E14000842","North East Cambridgeshire","E10000003","Cambridgeshire","2017","2023"
"E14000941","South Norfolk","E10000020","Norfolk","2017","2023"
"E14000835","Newton Abbot","E10000008","Devon","2017","2023"
"E14000864","Norwich South","E10000020","Norfolk","2017","2023"
"E14000577","Bolsover","E10000007","Derbyshire","2017","2023"
"E14000774","Kingswood","E06000025","South Gloucestershire","2017","2023"
"E14000702","Filton and Bradley Stoke","E06000025","South Gloucestershire","2017","2023"
"E14000994","Thornbury and Yate","E06000025","South Gloucestershire","2017","2023"
"E14000830","Newbury","E06000037","West Berkshire","2017","2023"
"E14001048","Wokingham","E06000037","West Berkshire","2017","2023"
"E14000890","Reading West","E06000037","West Berkshire","2017","2023"
"E14000705","Forest of Dean","E10000013","Gloucestershire","2017","2023"
"E14000640","City of Chester","E06000050","Cheshire West and Chester","2017","2023"
"E14000843","North East Derbyshire","E10000007","Derbyshire","2017","2023"
"E14000688","Ellesmere Port and Neston","E06000050","Cheshire West and Chester","2017","2023"
"E14000686","Eddisbury","E06000050","Cheshire West and Chester","2017","2023"
"E14000987","Tatton","E06000050","Cheshire West and Chester","2017","2023"
"E14001024","Weaver Vale","E06000050","Cheshire West and Chester","2017","2023"
"E14000642","Clacton","E10000012","Essex","2017","2023"
"E14000745","Hertsmere","E10000015","Hertfordshire","2017","2023"
"E14000940","South Leicestershire","E10000018","Leicestershire","2017","2023"
"E14000885","Preston","E10000017","Lancashire","2017","2023"
"E14000706","Fylde","E10000017","Lancashire","2017","2023"
"E14000857","North West Hampshire","E10000014","Hampshire","2017","2023"
"E14000901","Romsey and Southampton North","E10000014","Hampshire","2017","2023"
"E14000983","Surrey Heath","E10000030","Surrey","2017","2023"
"E14000999","Torbay","E06000027","Torbay","2017","2023"
"E14001001","Totnes","E06000027","Torbay","2017","2023"
"E14000946","South Suffolk","E10000029","Suffolk","2017","2023"
"E14000866","Nottingham North","E06000018","Nottingham","2017","2023"
"E14000865","Nottingham East","E06000018","Nottingham","2017","2023"
"E14000867","Nottingham South","E06000018","Nottingham","2017","2023"
"E14000638","Christchurch","E06000058","Bournemouth, Christchurch and Poole","2019","2023"
"E14000838","North Devon","E10000008","Devon","2017","2023"
"E14000547","Bath","E06000022","Bath and North East Somerset","2017","2023"
"E14001019","Warwick and Leamington","E10000031","Warwickshire","2017","2023"
